frame,prey,predator,food
398,844,45,2
399,844,45,2
400,846,45,2
401,848,45,1
402,850,45,1
403,848,45,1
404,850,45,1
405,852,48,1
406,855,51,1
407,858,52,2
408,860,55,2
409,859,54,2
410,860,54,2
411,862,54,3
412,864,54,3
413,868,54,3
414,869,55,2
415,871,59,1
416,875,59,2
417,880,63,3
418,883,67,3
419,886,67,2
420,889,59,3
421,890,59,3
422,894,59,2
423,897,59,2
424,900,59,2
425,905,59,2
426,912,59,2
427,917,59,2
428,923,59,2
429,924,59,2
430,934,59,2
431,942,59,2
432,952,59,0
433,964,59,0
434,974,64,0
435,982,67,0
436,988,70,0
437,993,72,0
438,1000,73,0
439,1007,75,0
440,1013,75,1
441,1020,75,1
442,1028,76,1
443,1034,78,1
444,1033,78,2
445,1033,79,1
446,1030,82,0
447,1031,82,0
448,1034,88,0
449,1039,96,0
450,1045,99,1
451,1051,101,1
452,1055,109,1
453,1058,116,1
454,1062,116,1
455,1064,116,2
456,1066,116,2
457,1068,116,2
458,1068,116,2
459,1068,117,1
460,1067,117,1
461,1069,121,1
462,1067,121,1
463,1071,121,1
464,1076,121,1
465,1080,122,1
466,1087,124,0
467,1096,124,1
468,1106,125,1
469,1115,127,0
470,1122,127,0
471,1129,127,1
472,1130,127,1
473,1135,127,1
474,1137,128,1
475,1137,129,1
476,1143,129,1
477,1149,129,1
478,1152,128,1
479,1155,126,1
480,1158,132,2
481,1161,135,2
482,1167,136,2
483,1173,137,2
484,1176,136,3
485,1177,135,3
486,1182,135,3
487,1185,133,2
488,1188,133,2
489,1192,134,2
490,1195,134,2
491,1199,134,2
492,1198,134,2
493,1202,134,2
494,1206,134,2
495,1210,135,2
496,1215,138,2
497,1218,141,2
498,1220,141,2
499,1222,141,2
500,1225,141,2
501,1228,140,2
502,1232,140,2
503,1231,140,2
504,1231,140,2
505,1227,140,2
506,1230,140,2
507,1227,139,2
508,1225,140,2
509,1227,144,2
510,1229,144,2
511,1234,144,2
512,1235,144,2
513,1234,145,2
514,1238,145,2
515,1239,145,2
516,1237,151,2
517,1238,153,2
518,1239,157,2
519,1239,164,2
520,1240,163,1
521,1243,169,2
522,1243,173,2
523,1248,184,2
524,1250,189,2
525,1250,189,2
526,1251,189,2
527,1250,191,2
528,1251,202,2
529,1254,203,2
530,1255,203,3
531,1249,202,3
532,1251,204,2
533,1250,210,3
534,1248,210,3
535,1248,210,2
536,1246,218,3
537,1245,221,3
538,1246,227,3
539,1246,235,3
540,1248,238,3
541,1247,246,3
542,1243,246,3
543,1243,249,2
544,1244,254,2
545,1247,254,2
546,1249,254,3
547,1245,253,3
548,1241,252,3
549,1236,254,3
550,1237,268,4
551,1241,274,4
552,1243,284,4
553,1247,287,4
554,1257,292,4
555,1261,299,4
556,1271,304,4
557,1275,309,4
558,1278,309,4
559,1278,311,5
560,1279,315,4
561,1280,314,3
562,1280,317,3
563,1283,323,4
564,1285,325,4
565,1291,326,3
566,1295,325,3
567,1293,325,3
568,1297,324,3
569,1298,326,3
570,1304,324,3
571,1308,328,3
572,1309,329,3
573,1315,329,3
574,1318,332,3
575,1322,335,3
576,1326,335,3
577,1328,336,3
578,1328,334,4
579,1332,334,4
580,1332,332,4
581,1330,332,4
582,1332,331,4
583,1333,335,4
584,1333,335,4
585,1336,337,4
586,1335,342,4
587,1338,341,4
588,1341,355,4
589,1346,358,4
590,1349,357,4
591,1348,357,5
592,1349,356,5
593,1352,354,3
594,1357,354,3
595,1356,355,3
596,1353,356,3
597,1354,359,3
598,1356,359,3
599,1352,361,3
600,1352,361,3
601,1356,362,3
602,1357,362,3
603,1358,362,3
604,1361,365,4
605,1364,364,4
606,1369,363,4
607,1372,369,4
608,1375,371,4
609,1376,370,5
610,1374,368,5
611,1372,374,4
612,1370,376,4
613,1377,376,4
614,1377,376,5
615,1381,379,5
616,1386,380,5
617,1382,378,5
618,1385,377,5
619,1382,379,5
620,1381,380,5
621,1382,380,6
622,1382,380,6
623,1379,379,6
624,1381,385,6
625,1377,386,6
626,1379,388,6
627,1375,393,7
628,1372,396,7
629,1373,409,7
630,1372,413,7
631,1368,411,6
632,1368,411,6
633,1365,416,6
634,1366,420,6
635,1371,437,6
636,1371,448,6
637,1370,452,6
638,1371,454,6
639,1367,459,6
640,1374,461,6
641,1377,477,6
642,1373,492,6
643,1373,497,6
644,1375,504,6
645,1373,510,6
646,1369,510,6
647,1369,515,6
648,1367,513,6
649,1364,516,6
650,1366,529,6
651,1365,534,6
652,1365,540,6
653,1360,543,6
654,1352,542,6
655,1350,557,7
656,1344,561,7
657,1343,564,7
658,1338,566,7
659,1336,570,7
660,1333,576,7
661,1334,583,7
662,1330,590,7
663,1325,602,7
664,1326,602,7
665,1319,612,7
666,1312,618,7
667,1304,627,8
668,1304,629,8
669,1301,638,9
670,1297,643,9
671,1292,644,9
672,1287,645,9
673,1280,642,9
674,1272,639,9
675,1266,638,8
676,1265,638,8
677,1257,641,8
678,1250,653,8
679,1247,655,8
680,1243,656,8
681,1236,665,8
682,1228,671,8
683,1217,669,8
684,1207,688,9
685,1199,690,9
686,1189,689,8
687,1188,699,8
688,1187,698,9
689,1186,703,9
690,1187,709,10
691,1188,710,10
692,1188,708,11
693,1185,711,11
694,1180,718,11
695,1176,715,11
696,1175,711,11
697,1171,708,12
698,1162,714,13
699,1165,712,14
700,1161,716,13
701,1160,728,13
702,1161,727,13
703,1163,728,13
704,1161,727,13
705,1162,726,13
706,1167,726,13
707,1164,730,13
708,1161,728,13
709,1159,732,13
710,1157,728,13
711,1153,723,14
712,1149,717,14
713,1145,715,14
714,1146,713,14
715,1139,712,14
716,1137,712,14
717,1134,713,14
718,1129,714,14
719,1125,714,14
720,1123,710,14
721,1122,713,14
722,1113,715,14
723,1112,715,14
724,1116,715,15
725,1114,713,16
726,1118,711,15
727,1125,707,15
728,1132,707,15
729,1135,710,15
730,1140,709,15
731,1142,707,15
732,1144,703,15
733,1147,699,15
734,1151,696,15
735,1154,691,15
736,1160,694,15
737,1159,705,15
738,1158,703,15
739,1160,705,15
740,1163,712,15
741,1167,710,15
742,1171,706,16
743,1175,703,16
744,1175,701,16
745,1172,697,16
746,1173,704,16
747,1172,703,16
748,1167,712,16
749,1167,710,16
750,1165,708,16
751,1165,707,16
752,1168,716,16
753,1169,717,16
754,1175,717,15
755,1180,716,14
756,1185,715,14
757,1187,710,14
758,1186,716,14
759,1181,717,14
760,1181,717,14
761,1186,717,14
762,1189,720,14
763,1194,722,14
764,1197,723,14
765,1194,728,14
766,1194,722,15
767,1192,725,15
768,1195,723,15
769,1198,719,15
770,1199,715,15
771,1204,712,15
772,1205,709,15
773,1210,703,14
774,1213,692,14
775,1215,695,14
776,1218,693,15
777,1221,690,15
778,1227,690,14
779,1232,690,14
780,1239,687,15
781,1244,690,16
782,1248,691,16
783,1249,692,16
784,1253,689,16
785,1258,689,16
786,1259,687,16
787,1262,679,16
788,1267,673,16
789,1274,661,16
790,1278,656,17
791,1284,653,17
792,1289,651,17
793,1297,646,17
794,1302,639,17
795,1301,633,17
796,1303,637,17
797,1306,638,17
798,1309,637,17
799,1312,636,17
800,1316,632,18
801,1321,626,18
802,1327,621,18
803,1330,613,18
804,1333,608,18
805,1336,601,18
806,1338,592,18
807,1340,588,18
808,1345,587,18
809,1351,584,19
810,1355,584,19
811,1358,577,19
812,1359,571,19
813,1362,568,19
814,1364,566,19
815,1368,567,19
816,1374,562,19
817,1381,564,19
818,1382,561,18
819,1387,553,19
820,1393,551,18
821,1400,547,17
822,1408,544,17
823,1418,538,16
824,1425,540,16
825,1431,536,16
826,1436,533,16
827,1443,531,16
828,1447,530,16
829,1451,529,16
830,1455,529,16
831,1455,527,16
832,1458,526,16
833,1458,525,16
834,1458,521,17
835,1461,519,17
836,1460,511,17
837,1458,511,17
838,1459,511,17
839,1458,507,17
840,1458,503,18
841,1459,502,18
842,1461,500,18
843,1462,496,18
844,1467,493,18
845,1468,489,18
846,1473,486,18
847,1479,483,18
848,1480,482,18
849,1480,478,18
850,1480,477,18
851,1480,478,18
852,1483,476,18
853,1487,473,18
854,1492,472,18
855,1495,472,18
856,1494,468,18
857,1496,466,18
858,1497,465,18
859,1496,461,18
860,1498,455,19
861,1501,452,19
862,1505,447,19
863,1506,442,19
864,1510,439,19
865,1512,439,19
866,1515,443,20
867,1517,441,20
868,1518,440,20
869,1522,439,20
870,1526,436,20
871,1527,432,21
872,1526,432,21
873,1527,430,21
874,1529,429,21
875,1531,428,21
876,1530,426,21
877,1535,424,21
878,1541,426,21
879,1547,420,21
880,1547,415,21
881,1550,410,21
882,1556,406,21
883,1561,398,21
884,1565,391,21
885,1570,383,21
886,1572,379,22
887,1575,381,22
888,1579,380,22
889,1580,377,22
890,1582,375,22
891,1587,372,23
892,1590,367,23
893,1592,364,23
894,1597,362,23
895,1600,357,23
896,1603,356,24
897,1604,351,24
898,1609,347,24
899,1613,339,24
900,1615,335,24
901,1618,329,25
902,1623,326,25
903,1625,329,25
904,1627,329,25
905,1628,339,25
906,1630,338,25
907,1634,341,25
908,1639,337,26
909,1640,336,26
910,1643,332,26
911,1647,332,26
912,1654,329,26
913,1661,324,26
914,1665,321,26
915,1667,319,26
916,1670,317,26
917,1675,313,26
918,1679,308,26
919,1678,308,26
920,1678,306,26
921,1678,304,26
922,1679,311,26
923,1684,309,27
924,1685,305,27
925,1687,302,28
926,1687,300,28
927,1688,302,27
928,1693,305,27
929,1701,306,27
930,1701,302,27
931,1703,304,27
932,1706,303,27
933,1713,300,27
934,1717,300,27
935,1724,294,27
936,1725,291,27
937,1725,288,27
938,1725,288,27
939,1725,286,26
940,1727,283,26
941,1728,279,26
942,1730,280,26
943,1732,276,26
944,1734,273,26
945,1737,272,26
946,1739,270,26
947,1743,270,26
948,1749,267,27
949,1751,264,28
950,1754,262,27
951,1757,262,27
952,1763,267,27
953,1767,266,27
954,1769,268,27
955,1767,269,28
956,1767,265,28
957,1769,264,28
958,1768,261,27
959,1773,258,27
960,1776,256,27
961,1778,254,27
962,1783,254,27
963,1782,256,27
964,1782,255,27
965,1779,252,27
966,1776,250,27
967,1776,255,27
968,1779,255,27
969,1781,255,27
970,1785,254,27
971,1784,255,27
972,1783,255,27
973,1781,262,27
974,1781,265,27
975,1780,267,26
976,1777,265,27
977,1777,266,27
978,1781,262,28
979,1784,264,28
980,1783,262,28
981,1784,259,28
982,1786,256,28
983,1788,255,28
984,1791,254,28
985,1786,252,28
986,1790,250,28
987,1794,250,29
988,1799,250,29
989,1796,250,29
990,1798,252,29
991,1798,249,29
992,1796,248,29
993,1797,248,29
994,1798,245,29
995,1797,244,29
996,1799,246,29
997,1799,243,29
998,1802,244,29
999,1802,241,29
1000,1802,240,29
1001,1804,237,29
1002,1803,236,29
1003,1804,239,28
1004,1805,236,27
1005,1805,237,27
1006,1802,234,27
1007,1804,231,27
1008,1806,235,27
1009,1805,238,27
1010,1804,237,27
1011,1805,236,27
1012,1805,236,27
1013,1808,240,26
1014,1801,240,26
1015,1801,242,26
1016,1801,243,26
1017,1800,242,26
1018,1796,249,27
1019,1796,254,27
1020,1797,255,27
1021,1798,255,27
1022,1797,256,27
1023,1795,256,27
1024,1793,258,27
1025,1791,258,27
1026,1786,259,27
1027,1786,259,26
1028,1786,257,26
1029,1785,257,26
1030,1786,261,26
1031,1786,269,26
1032,1787,269,27
1033,1786,266,28
1034,1786,268,28
1035,1787,270,28
1036,1788,271,28
1037,1791,273,27
1038,1795,272,27
1039,1798,271,26
1040,1801,274,26
1041,1804,274,26
1042,1806,274,25
1043,1805,275,25
1044,1805,275,25
1045,1808,272,25
1046,1809,273,25
1047,1809,272,25
1048,1814,270,24
1049,1818,267,24
1050,1819,266,24
1051,1818,264,25
1052,1819,263,26
1053,1816,261,26
1054,1816,259,26
1055,1819,258,26
1056,1821,263,26
1057,1822,266,26
1058,1823,269,26
1059,1824,267,26
1060,1825,266,27
1061,1825,265,27
1062,1821,265,27
1063,1821,264,27
1064,1820,265,27
1065,1819,268,27
1066,1817,266,27
1067,1817,264,26
1068,1817,265,26
1069,1817,263,26
1070,1817,261,26
1071,1818,260,26
1072,1820,267,27
1073,1819,269,27
1074,1821,271,27
1075,1823,271,27
1076,1825,276,27
1077,1826,277,27
1078,1829,275,27
1079,1830,281,27
1080,1831,278,27
1081,1832,278,27
1082,1831,279,27
1083,1832,279,27
1084,1835,279,27
1085,1834,280,27
1086,1832,285,27
1087,1831,283,27
1088,1830,286,27
1089,1829,290,28
1090,1829,292,28
1091,1830,293,28
1092,1829,294,28
1093,1832,297,28
1094,1834,298,28
1095,1835,297,27
1096,1834,299,27
1097,1836,295,27
1098,1841,295,27
1099,1845,294,27
1100,1849,294,27
1101,1855,292,27
1102,1857,290,27
1103,1858,288,27
1104,1860,286,28
1105,1861,286,28
1106,1859,285,28
1107,1860,286,28
1108,1856,285,28
1109,1858,282,28
1110,1859,284,27
1111,1858,288,27
1112,1859,287,27
1113,1857,285,27
1114,1856,288,26
1115,1857,289,26
1116,1863,293,26
1117,1864,294,27
1118,1869,297,27
1119,1875,297,27
1120,1877,299,27
1121,1880,298,27
1122,1886,298,27
1123,1888,304,26
1124,1894,304,26
1125,1894,303,26
1126,1895,304,26
1127,1893,306,26
1128,1888,307,26
1129,1888,309,24
1130,1890,309,24
1131,1886,311,24
1132,1890,316,24
1133,1890,319,24
1134,1886,322,24
1135,1886,322,24
1136,1885,326,24
1137,1879,332,25
1138,1877,330,25
1139,1875,329,25
1140,1874,328,25
1141,1877,337,25
1142,1878,337,25
1143,1881,343,25
1144,1881,342,25
1145,1881,345,25
1146,1882,343,25
1147,1882,342,25
1148,1880,341,25
1149,1883,343,25
1150,1884,340,25
1151,1884,343,25
1152,1885,343,25
1153,1884,340,24
1154,1884,339,24
1155,1881,341,24
1156,1881,343,24
1157,1883,344,24
1158,1882,339,24
1159,1882,338,24
1160,1881,337,24
1161,1881,337,25
1162,1883,336,25
1163,1885,334,25
1164,1886,333,25
1165,1888,332,26
1166,1887,333,26
1167,1885,332,26
1168,1878,330,26
1169,1876,329,26
1170,1874,324,26
1171,1872,323,26
1172,1873,323,26
1173,1875,321,26
1174,1872,320,27
1175,1873,319,27
1176,1873,317,27
1177,1872,316,27
1178,1874,317,27
1179,1876,318,27
1180,1879,320,28
1181,1880,320,28
1182,1881,318,27
1183,1884,315,27
1184,1885,315,27
1185,1887,311,27
1186,1890,310,27
1187,1892,307,26
1188,1891,310,26
1189,1886,312,26
1190,1884,313,26
1191,1884,313,26
1192,1879,310,26
1193,1877,311,26
1194,1879,310,26
1195,1880,309,26
1196,1880,309,26
1197,1880,307,26
1198,1879,309,27
1199,1878,315,27
1200,1878,320,27
1201,1881,331,27
1202,1885,331,28
1203,1888,330,28
1204,1893,330,28
1205,1898,331,28
1206,1902,328,28
1207,1904,328,28
1208,1908,325,28
1209,1911,327,29
1210,1914,326,30
1211,1918,324,30
1212,1920,323,31
1213,1912,323,31
1214,1911,322,30
1215,1905,325,30
1216,1903,345,31
1217,1901,344,31
1218,1903,346,32
1219,1906,346,32
1220,1907,344,31
1221,1908,342,31
1222,1906,343,31
1223,1908,338,31
1224,1907,345,32
1225,1907,352,32
1226,1906,356,33
1227,1906,359,33
1228,1909,360,33
1229,1911,360,33
1230,1914,362,33
1231,1921,369,33
1232,1919,374,33
1233,1917,374,33
1234,1917,379,33
1235,1921,383,34
1236,1919,382,34
1237,1916,381,34
1238,1914,380,34
1239,1916,382,35
1240,1917,382,35
1241,1919,383,35
1242,1918,384,35
1243,1913,382,35
1244,1911,393,35
1245,1909,394,35
1246,1909,394,35
1247,1908,394,35
1248,1908,392,35
1249,1906,391,35
1250,1905,391,35
1251,1905,390,35
1252,1905,391,35
1253,1904,387,35
1254,1900,390,35
1255,1896,391,34
1256,1892,390,34
1257,1893,393,35
1258,1893,394,35
1259,1893,392,35
1260,1892,392,35
1261,1892,390,36
1262,1893,392,36
1263,1892,389,37
1264,1890,387,37
1265,1883,385,37
1266,1884,383,37
1267,1881,382,37
1268,1880,379,37
1269,1878,377,38
1270,1875,374,38
1271,1875,372,38
1272,1868,369,38
1273,1867,369,38
1274,1864,367,38
1275,1861,367,38
1276,1859,362,38
1277,1858,367,38
1278,1859,364,39
1279,1858,367,39
1280,1856,368,38
1281,1855,365,38
1282,1855,371,38
1283,1853,369,37
1284,1853,368,37
1285,1855,368,36
1286,1853,366,36
1287,1853,362,36
1288,1855,360,36
1289,1852,359,36
1290,1852,357,36
1291,1851,365,36
1292,1850,364,36
1293,1848,364,36
1294,1847,363,36
1295,1844,362,36
1296,1839,362,37
1297,1835,360,37
1298,1832,359,37
1299,1830,356,37
1300,1828,359,37
1301,1824,359,37
1302,1820,361,37
1303,1820,361,37
1304,1820,360,36
1305,1817,358,37
1306,1815,359,37
1307,1814,356,37
1308,1812,356,38
1309,1812,363,38
1310,1811,367,38
1311,1810,368,38
1312,1810,369,38
1313,1808,368,38
1314,1806,368,38
1315,1806,366,38
1316,1805,368,38
1317,1803,371,38
1318,1801,374,38
1319,1801,376,38
1320,1800,375,38
1321,1800,375,38
1322,1799,374,38
1323,1800,372,38
1324,1801,372,39
1325,1799,371,40
1326,1798,374,41
1327,1796,373,41
1328,1795,370,40
1329,1795,372,40
1330,1792,371,41
1331,1792,369,41
1332,1791,371,40
1333,1787,371,40
1334,1788,375,40
1335,1787,379,40
1336,1783,381,40
1337,1778,376,40
1338,1781,382,40
1339,1782,381,40
1340,1784,380,40
1341,1780,383,40
1342,1777,383,40
1343,1774,381,39
1344,1772,383,39
1345,1773,380,39
1346,1772,380,39
1347,1774,376,37
1348,1778,380,37
1349,1774,381,37
1350,1771,381,37
1351,1766,380,37
1352,1759,381,37
1353,1760,380,37
1354,1761,378,37
1355,1761,377,37
1356,1760,379,37
1357,1763,379,37
1358,1763,376,37
1359,1761,373,37
1360,1763,371,37
1361,1761,370,37
1362,1762,377,37
1363,1761,376,37
1364,1761,375,37
1365,1752,373,37
1366,1751,371,37
1367,1748,368,37
1368,1749,364,37
1369,1749,364,38
1370,1749,364,38
1371,1749,362,38
1372,1752,362,38
1373,1752,361,38
1374,1751,355,39
1375,1749,352,40
1376,1748,351,39
1377,1749,351,39
1378,1750,348,39
1379,1747,345,39
1380,1746,348,39
1381,1746,350,39
1382,1743,349,39
1383,1743,348,40
1384,1744,348,40
1385,1745,355,40
1386,1743,360,39
1387,1743,358,39
1388,1740,358,39
1389,1740,357,39
1390,1738,357,39
1391,1733,356,39
1392,1727,359,39
1393,1727,363,39
1394,1724,364,39
1395,1722,364,40
1396,1722,361,40
1397,1720,359,40
1398,1719,358,39
1399,1720,357,39
1400,1718,361,39
1401,1718,360,39
1402,1716,362,39
1403,1716,362,39
1404,1713,365,39
1405,1710,366,40
1406,1706,364,40
1407,1699,363,40
1408,1696,361,40
1409,1691,361,40
1410,1690,365,41
1411,1689,366,41
1412,1685,367,41
1413,1681,366,41
1414,1673,365,42
1415,1672,364,42
1416,1672,361,41
1417,1671,360,41
1418,1671,359,41
1419,1671,357,41
1420,1670,354,41
1421,1666,351,42
1422,1664,352,42
1423,1664,347,42
1424,1664,344,42
1425,1661,341,42
1426,1656,339,42
1427,1650,336,42
1428,1647,334,42
1429,1640,336,42
1430,1637,338,42
1431,1634,340,43
1432,1634,339,43
1433,1630,343,43
1434,1628,341,43
1435,1625,341,43
1436,1626,340,44
1437,1623,340,44
1438,1621,341,45
1439,1622,342,45
1440,1621,344,45
1441,1618,341,45
1442,1617,337,45
1443,1613,334,45
1444,1614,338,44
1445,1613,335,44
1446,1611,335,44
1447,1604,339,44
1448,1603,340,44
1449,1603,341,44
1450,1599,338,44
1451,1599,336,45
1452,1599,334,45
1453,1599,333,45
1454,1601,333,45
1455,1597,340,45
1456,1601,336,45
1457,1602,336,45
1458,1599,337,45
1459,1599,335,46
1460,1596,333,46
1461,1596,330,46
1462,1597,328,46
1463,1594,325,46
1464,1592,324,46
1465,1592,323,46
1466,1592,323,46
1467,1591,322,46
1468,1589,316,46
1469,1587,322,47
1470,1580,321,47
1471,1580,325,47
1472,1580,323,47
1473,1579,324,47
1474,1577,320,47
1475,1577,319,47
1476,1576,319,47
1477,1576,316,47
1478,1577,314,48
1479,1576,313,48
1480,1576,312,48
1481,1573,311,48
1482,1573,313,48
1483,1571,312,48
1484,1568,313,49
1485,1566,311,49
1486,1563,309,49
1487,1563,309,49
1488,1564,306,49
1489,1562,301,49
1490,1560,297,49
1491,1559,296,49
1492,1558,296,50
1493,1557,294,50
1494,1556,294,50
1495,1558,299,50
1496,1554,299,49
1497,1552,302,49
1498,1553,302,49
1499,1551,298,49
1500,1555,294,48
1501,1556,296,48
1502,1552,295,48
1503,1551,300,48
1504,1549,298,48
1505,1551,300,48
1506,1548,299,48
1507,1547,295,48
1508,1546,297,48
1509,1544,295,48
1510,1541,292,48
1511,1539,291,48
1512,1537,289,48
1513,1534,287,49
1514,1535,289,49
1515,1533,286,49
1516,1532,284,49
1517,1525,283,49
1518,1520,284,49
1519,1523,282,49
1520,1524,283,49
1521,1523,281,49
1522,1519,280,49
1523,1515,275,49
1524,1510,273,50
1525,1508,272,50
1526,1508,272,50
1527,1505,271,49
1528,1504,270,49
1529,1497,269,49
1530,1492,269,50
1531,1487,271,50
1532,1484,269,50
1533,1483,268,50
1534,1483,270,50
1535,1481,268,49
1536,1481,266,49
1537,1480,266,49
1538,1478,265,49
1539,1478,264,49
